Продукт,Цена
Хлеб,61.40
Батон,31.00
Макароны,37.00
Мука,22.00
Гречка,50.18
Рис,51.74
Говядина,361.00
Свинина,225.00
Курица,106.00
Филе куриное,209.00
Рыба мороженая,228.00
Молоко,50.46
Сыр,238.00
Сметана,144.00
Яйца,68.33
Масло сливочное,110.06
Масло подсолнечное,89.00
Картофель,17.48
Капуста,11.00
Лук,10.00
Морковь,13.00
Яблоки,43.00
Чеснок,120.00
